# This file contains data for the Dirac and Pauli proton electromagnetic form factors in the time-like region, based on the Unitary and Analytic (UA) model for dark vector production,
# as presented in "A Closer Look at Dark Vector Splitting Functions in Proton Bremsstrahlung" by S. Foroughi-Abari, P. Reimitz, and A. Ritz.
# Column descriptions:
# Column  1: The momentum transfer sqrt(t) [GeV]
# Columns 2: The value of the Dirac form factor
# Columns 3: The value of the Pauli form factor
#     sqrt(t)[GeV]    F1p                            F2p
      0.39000000      (1.57124563+0.01742887j)      (3.16166973+0.61732213j)
      0.39500000      (1.59277944+0.01873762j)      (3.19613501+0.64405918j)
      0.40000000      (1.61513548+0.02012455j)      (3.23157972+0.67152920j)
      0.40500000      (1.63838595+0.02159468j)      (3.26803221+0.69978540j)
      0.41000000      (1.66264609+0.02315332j)      (3.30551866+0.72888266j)
      0.41500000      (1.68818416+0.02480621j)      (3.34405390+0.75887784j)
      0.42000000      (1.71603603+0.02830281j)      (3.38358969+0.78968068j)
      0.42500000      (1.74189732+0.03237394j)      (3.42453552+0.82146738j)
      0.43000000      (1.76869078+0.03583636j)      (3.46667933+0.85440362j)
      0.43500000      (1.79645930+0.03920875j)      (3.51006131+0.88851300j)
      0.44000000      (1.82524835+0.04261360j)      (3.55472326+0.92385737j)
      0.44500000      (1.85510618+0.04610865j)      (3.60070861+0.96050844j)
      0.45000000      (1.88608405+0.04973028j)      (3.64806249+0.99854433j)
      0.45500000      (1.91823644+0.05350591j)      (3.69683181+1.03804899j)
      0.46000000      (1.95162127+0.05745885j)      (3.74706525+1.07911214j)
      0.46500000      (1.98630023+0.06161051j)      (3.79881331+1.12182967j)
      0.47000000      (2.02233899+0.06598170j)      (3.85212838+1.16630399j)
      0.47500000      (2.05980761+0.07059333j)      (3.90706470+1.21264462j)
      0.48000000      (2.09878081+0.07546693j)      (3.96367842+1.26096874j)
      0.48500000      (2.13933839+0.08062503j)      (4.02202760+1.31140191j)
      0.49000000      (2.18156565+0.08609149j)      (4.08217214+1.36407875j)
      0.49500000      (2.22555385+0.09189178j)      (4.14417380+1.41914380j)
      0.50000000      (2.27140072+0.09805325j)      (4.20809609+1.47675241j)
      0.50500000      (2.31921099+0.10460539j)      (4.27400420+1.53707173j)
      0.51000000      (2.36909703+0.11158015j)      (4.34196485+1.60028180j)
      0.51500000      (2.42117955+0.11901221j)      (4.41204611+1.66657677j)
      0.52000000      (2.47558832+0.12693933j)      (4.48431718+1.73616619j)
      0.52500000      (2.53246299+0.13540274j)      (4.55884803+1.80927652j)
      0.53000000      (2.59195406+0.14444747j)      (4.63570907+1.88615274j)
      0.53500000      (2.65422389+0.15412288j)      (4.71497063+1.96706010j)
      0.54000000      (2.71944782+0.16448309j)      (4.79670233+2.05228617j)
      0.54500000      (2.78781547+0.17558762j)      (4.88097238+2.14214296j)
      0.55000000      (2.85953217+0.18750195j)      (4.96784655+2.23696937j)
      0.55500000      (2.93482054+0.20029828j)      (5.05738714+2.33713388j)
      0.56000000      (3.01392229+0.21405635j)      (5.14965149+2.44303750j)
      0.56500000      (3.09710024+0.22886432j)      (5.24469028+2.55511703j)
      0.57000000      (3.18464059+0.24481983j)      (5.34254551+2.67384870j)
      0.57500000      (3.27685548+0.26203122j)      (5.44324789+2.79975216j)
      0.58000000      (3.37408593+0.28061884j)      (5.54681383+2.93339486j)
      0.58500000      (3.47670511+0.30071660j)      (5.65324168+3.07539689j)
      0.59000000      (3.58512215+0.32247376j)      (5.76250725+3.22643634j)
      0.59500000      (3.69978643+0.34605690j)      (5.87455835+3.38725498j)
      0.60000000      (3.82119254+0.37165229j)      (5.98930817+3.55866469j)
      0.60500000      (3.94988602+0.39946849j)      (6.10662735+3.74155415j)
      0.61000000      (4.08646994+0.42973943j)      (6.22633430+3.93689622j)
      0.61500000      (4.23161258+0.46272785j)      (6.34818360+4.14575561j)
      0.62000000      (4.38605648+0.49872940j)      (6.47185195+4.36929695j)
      0.62500000      (4.55062893+0.53807722j)      (6.59692126+4.60879305j)
      0.63000000      (4.72625453+0.58114729j)      (6.72285828+4.86563307j)
      0.63500000      (4.91397004+0.62836461j)      (6.84899015+5.14133022j)
      0.64000000      (5.11494228+0.68021031j)      (6.97447500+5.43752849j)
      0.64500000      (5.33048975+0.73722990j)      (7.09826687+5.75600768j)
      0.65000000      (5.56210902+0.80004280j)      (7.21907387+6.09868548j)
      0.65500000      (5.81150735+0.86935349j)      (7.33530860+6.46761536j)
      0.66000000      (6.08064332+0.94596442j)      (7.44502969+6.86497798j)
      0.66500000      (6.37177806+1.03079123j)      (7.54587361+7.29306373j)
      0.67000000      (6.68754084+1.12488084j)      (7.63497585+7.75424243j)
      0.67500000      (7.03101377+1.22943303j)      (7.70888135+8.25091593j)
      0.68000000      (7.40584318+1.34582699j)      (7.76344482+8.78544729j)
      0.68500000      (7.81638781+1.47565463j)      (7.79372308+9.36005940j)
      0.69000000      (8.26791909+1.62076377j)      (7.79386406+9.97669388j)
      0.69500000      (8.76689593+1.78331668j)      (7.75700039+10.63682012j)
      0.70000000      (9.32134752+1.96587286j)      (7.67516083+11.34118335j)
      0.70500000      (9.94141509+2.17151167j)      (7.53921953+12.08948139j)
      0.71000000      (10.64013115+2.40402239j)      (7.33891211+12.87996278j)
      0.71500000      (11.43455951+2.66821025j)      (7.06295851+13.70894635j)
      0.72000000      (12.34749450+2.97040679j)      (6.69934388+14.57027562j)
      0.72500000      (13.41004610+3.31934702j)      (6.23581943+15.45474358j)
      0.73000000      (14.66566844+3.72772251j)      (5.66069078+16.34955578j)
      0.73500000      (16.17661846+4.21501939j)      (4.96395742+17.23794328j)
      0.74000000      (18.03467558+4.81290469j)      (4.13885068+18.09909060j)
      0.74500000      (20.37970142+5.57595364j)      (3.18379258+18.90860660j)
      0.75000000      (23.43346584+6.60441205j)      (2.10479004+19.63985093j)
      0.75500000      (27.56516892+8.09672647j)      (0.91836744+20.26661561j)
      0.76000000      (33.42732648+10.48505972j)      (-0.34446863+20.76830315j)
      0.76500000      (42.25546401+14.84092750j)      (-1.63157785+21.14143394j)
      0.77000000      (56.50808951+24.35778978j)      (-2.85677971+21.43441272j)
      0.77500000      (79.91417996+51.30236540j)      (-3.90046104+21.89940709j)
      0.78000000      (82.74086941+145.61183039j)      (-5.35645448+23.61085120j)
      0.78500000      (-85.79985007+154.90758853j)      (-10.43545931+23.31843436j)
      0.79000000      (-90.14618682+54.44117198j)      (-11.89801813+20.48506697j)
      0.79500000      (-66.16553284+25.38049989j)      (-12.62096668+19.03993359j)
      0.80000000      (-51.46445533+15.34457516j)      (-13.39793250+17.89315723j)
      0.80500000      (-42.42413398+10.84211358j)      (-14.14340145+16.78811630j)
      0.81000000      (-36.47830901+8.42190999j)      (-14.80207005+15.68240087j)
      0.81500000      (-32.33818567+6.94151608j)      (-15.35269769+14.57980131j)
      0.82000000      (-29.32655055+5.94371057j)      (-15.79204981+13.49423049j)
      0.82500000      (-27.06192213+5.21909712j)      (-16.12629882+12.43989262j)
      0.83000000      (-25.31583302+4.66174503j)      (-16.36637390+11.42832532j)
      0.83500000      (-23.94442609+4.21376663j)      (-16.52525662+10.46771978j)
      0.84000000      (-22.85338051+3.84146515j)      (-16.61636023+9.56310308j)
      0.84500000      (-21.97880259+3.52412562j)      (-16.65257895+8.71683911j)
      0.85000000      (-21.27626216+3.24837054j)      (-16.64577315+7.92920789j)
      0.85500000      (-20.71422403+3.00515607j)      (-16.60653949+7.19895310j)
      0.86000000      (-20.26996895+2.78809898j)      (-16.54416285+6.52375162j)
      0.86500000      (-19.92698479+2.59250800j)      (-16.46667826+5.90059203j)
      0.87000000      (-19.67325886+2.41480310j)      (-16.38099467+5.32606582j)
      0.87500000      (-19.50014095+2.25215586j)      (-16.29304859+4.79658273j)
      0.88000000      (-19.40157930+2.10225908j)      (-16.20796810+4.30852351j)
      0.88500000      (-19.37360857+1.96317380j)      (-16.13023609+3.85834359j)
      0.89000000      (-19.41401406+1.83322344j)      (-16.06384741+3.44263898j)
      0.89500000      (-19.52212537+1.71091663j)      (-16.01245873+3.05818397j)
      0.90000000      (-19.69871091+1.59488734j)      (-15.97953236+2.70194815j)
      0.90500000      (-19.94595743+1.48384467j)      (-15.96847758+2.37109814j)
      0.91000000      (-20.26752860+1.37652667j)      (-15.98279453+2.06298807j)
      0.91500000      (-20.66870483+1.27165373j)      (-16.02622742+1.77514136j)
      0.92000000      (-21.15661511+1.16787681j)      (-16.10293621+1.50522502j)
      0.92500000      (-21.74058152+1.06371541j)      (-16.21769868+1.25101660j)
      0.93000000      (-22.43261007+0.95747804j)      (-16.37615956+1.01036244j)
      0.93500000      (-23.24808058+0.84715528j)      (-16.58515031+0.78112434j)
      0.94000000      (-24.20671656+0.73026954j)      (-16.85311420+0.56110903j)
      0.94500000      (-25.33396125+0.60365700j)      (-17.19068912+0.34797123j)
      0.95000000      (-26.66295901+0.46314027j)      (-17.61152996+0.13907407j)
      0.95500000      (-28.23746561+0.30302128j)      (-18.13350207+-0.06872065j)
      0.96000000      (-30.11622646+0.11526872j)      (-18.78046462+-0.27938236j)
      0.96500000      (-32.37975534+-0.11183326j)      (-19.58502123+-0.49825410j)
      0.97000000      (-35.14119043+-0.39602854j)      (-20.59291621+-0.73298779j)
      0.97500000      (-38.56439122+-0.76535778j)      (-21.87035542+-0.99524340j)
      0.98000000      (-42.89558683+-1.26639965j)      (-23.51680340+-1.30396795j)
      0.98500000      (-48.52203775+-1.98134991j)      (-25.68869995+-1.69219512j)
      0.99000000      (-56.08888257+-3.06668561j)      (-28.64670255+-2.22245826j)
      0.99500000      (-66.75413685+-4.85124556j)      (-32.85880299+-3.02595161j)
      1.00000000      (-82.81585068+-8.12613122j)      (-39.25401624+-4.41848936j)
      1.00500000      (-109.52636509+-15.21041682j)      (-49.95664279+-7.32761906j)
      1.01000000      (-161.66086826+-35.46372372j)      (-70.94752353+-15.50677335j)
      1.01500000      (-291.70166127+-138.16480512j)      (-123.53322219+-56.83412944j)
      1.02000000      (178.38457872+-701.32549023j)      (65.36140414+-285.08276293j)
      1.02500000      (248.76705607+-94.49808074j)      (94.90620713+-40.31082548j)
      1.03000000      (143.54415071+-28.08248550j)      (52.62642566+-13.40233315j)
      1.03500000      (99.13122390+-12.73413500j)      (34.80683233+-7.21341300j)
      1.04000000      (75.40323047+-7.00672555j)      (25.32019670+-4.94310412j)
      1.04500000      (60.76041835+-4.28417945j)      (19.49514548+-3.90069814j)
      1.05000000      (50.86325539+-2.78839284j)      (15.58296895+-3.36109155j)
      1.05500000      (43.74611000+-1.88384722j)      (12.79134857+-3.06452583j)
      1.06000000      (38.39411950+-1.29840553j)      (10.71117224+-2.89956953j)
      1.06500000      (34.23165215+-0.89995720j)      (9.11040811+-2.81206913j)
      1.07000000      (30.90831966+-0.61815517j)      (7.84785144+-2.77318632j)
      1.07500000      (28.19879396+-0.41278092j)      (6.83273458+-2.76645523j)
      1.08000000      (25.95165918+-0.25950702j)      (6.00410282+-2.78194747j)
      1.08500000      (24.06144063+-0.14292819j)      (5.31953449+-2.81341129j)
      1.09000000      (22.45242994+-0.05291158j)      (4.74861744+-2.85677103j)
      1.09500000      (21.06888802+0.01742408j)      (4.26899755+-2.90929500j)
      1.10000000      (19.86887491+0.07288084j)      (3.86388996+-2.96911221j)
      1.10500000      (18.82023202+0.11688922j)      (3.52045840+-3.03492028j)
      1.11000000      (17.89788918+0.15195028j)      (3.22872891+-3.10580278j)
      1.11500000      (17.08201370+0.17992013j)      (2.98084323+-3.18111170j)
      1.12000000      (16.35670948+0.20219788j)      (2.77053397+-3.26038975j)
      1.12500000      (15.70908438+0.21985274j)      (2.59274841+-3.34331782j)
      1.13000000      (15.12856974+0.23371171j)      (2.44337393+-3.42967877j)
      1.13500000      (14.60641569+0.24442133j)      (2.31903440+-3.51933199j)
      1.14000000      (14.13531147+0.25249174j)      (2.21693684+-3.61219524j)
      1.14500000      (13.70909578+0.25832873j)      (2.13475444+-3.70823152j)
      1.15000000      (13.32253306+0.26225733j)      (2.07053611+-3.80743943j)
      1.15500000      (12.97113863+0.26453940j)      (2.02263561+-3.90984597j)
      1.16000000      (12.65104042+0.26538682j)      (1.98965542+-4.01550119j)
      1.16500000      (12.35886841+0.26497169j)      (1.97040165+-4.12447408j)
      1.17000000      (12.09166507+0.26343402j)      (1.96384738+-4.23684945j)
      1.17500000      (11.84681214+0.26088786j)      (1.96910239+-4.35272544j)
      1.18000000      (11.62196967+0.25742597j)      (1.98538782+-4.47221164j)
      1.18500000      (11.41502473+0.25312362j)      (2.01201456+-4.59542750j)
      1.19000000      (11.22404722+0.24804154j)      (2.04836442+-4.72250108j)
      1.19500000      (11.04725104+0.24222835j)      (2.09387343+-4.85356798j)
      1.20000000      (10.88295898+0.23572251j)      (2.14801661+-4.98877045j)
      1.20500000      (10.72956965+0.22855393j)      (2.21029373+-5.12825651j)
      1.21000000      (10.58552513+0.22074529j)      (2.28021556+-5.27217925j)
      1.21500000      (10.44927745+0.21231324j)      (2.35729044+-5.42069604j)
      1.22000000      (10.31925164+0.20326935j)      (2.44101046+-5.57396782j)
      1.22500000      (10.19380228+0.19362112j)      (2.53083732+-5.73215834j)
      1.23000000      (10.07115867+0.18337289j)      (2.62618715+-5.89543334j)
      1.23500000      (9.94935020+0.17252689j)      (2.72641417+-6.06395967j)
      1.24000000      (9.82609725+0.16108455j)      (2.83079271+-6.23790435j)
      1.24500000      (9.69863841+0.14904841j)      (2.93849714+-6.41743348j)
      1.25000000      (9.56343144+0.13642516j)      (3.04857909+-6.60271108j)
      1.25500000      (9.41557716+0.12323161j)      (3.15994145+-6.79389777j)
      1.26000000      (9.24753791+0.10950794j)      (3.27130803+-6.99114929j)
      1.26500000      (9.04560079+0.09535537j)      (3.38118787+-7.19461483j)
      1.27000000      (8.77532464+0.08109674j)      (3.48783234+-7.40443525j)
      1.27500000      (8.20563750+0.27120600j)      (3.58918256+-7.62074099j)
      1.28000000      (8.15401890+0.67983125j)      (3.68280337+-7.84364984j)
      1.28500000      (8.10117357+0.92939123j)      (3.76579772+-8.07326444j)
      1.29000000      (8.04794057+1.14205312j)      (3.83469153+-8.30966948j)
      1.29500000      (7.99383608+1.33893504j)      (3.88527202+-8.55292871j)
      1.30000000      (7.93817277+1.52831544j)      (3.91234853+-8.80308151j)
      1.30500000      (7.88017742+1.71434382j)      (3.90937692+-9.06013916j)
      1.31000000      (7.81902561+1.89935229j)      (3.86782569+-9.32408043j)
      1.31500000      (7.75385850+2.08470639j)      (3.77600766+-9.59484634j)
      1.32000000      (7.68379489+2.27118013j)      (3.61666423+-9.87233299j)
      1.32500000      (7.60794309+2.45914096j)      (3.36108227+-10.15637931j)
      1.33000000      (7.52541400+2.64864837j)      (2.95037969+-10.44673615j)
      1.33500000      (7.43533626+2.83950946j)      (2.18767214+-10.74290273j)
      1.34000000      (7.33687384+3.03131221j)      (1.10027165+-9.69482161j)
      1.34500000      (7.22924601+3.22344739j)      (1.18519486+-9.00812520j)
