# This file contains data for the Dirac and Pauli proton electromagnetic form factors in the time-like region, based on the Unitary and Analytic (UA) model for dark vector production,
# as presented in "A Closer Look at Dark Vector Splitting Functions in Proton Bremsstrahlung" by S. Foroughi-Abari, P. Reimitz, and A. Ritz.
# Column descriptions:
# Column  1: The momentum transfer sqrt(t) [GeV]
# Columns 2: The value of the Dirac form factor
# Columns 3: The value of the Pauli form factor
#     sqrt(t)[GeV]    F1p                            F2p
      1.71500000      (-9.33237778+3.24244294j)      (27.22662855+-17.00422800j)
      1.72000000      (-9.23145214+2.40385370j)      (26.80539789+-15.04771966j)
      1.72500000      (-9.03822893+1.62737026j)      (26.16368777+-13.19249522j)
      1.73000000      (-8.77078488+0.92149859j)      (25.34052720+-11.45851105j)
      1.73500000      (-8.44648589+0.29032921j)      (24.37407703+-9.85748248j)
      1.74000000      (-8.08116970+-0.26560267j)      (23.29996323+-8.39441943j)
      1.74500000      (-7.68868916+-0.74843451j)      (22.15027155+-7.06918481j)
      1.75000000      (-7.28073872+-1.16216731j)      (20.95306391+-5.87791032j)
      1.75500000      (-6.86688168+-1.51198022j)      (19.73227061+-4.81418900j)
      1.76000000      (-6.45470455+-1.80368488j)      (18.50783133+-3.87002414j)
      1.76500000      (-6.05004059+-2.04331420j)      (17.29598539+-3.03655034j)
      1.77000000      (-5.65722062+-2.23682886j)      (16.10963960+-2.30455954j)
      1.77500000      (-5.27932328+-2.38992033j)      (14.95876566+-1.66487057j)
      1.78000000      (-4.91840826+-2.50788909j)      (13.85079624+-1.10857813j)
      1.78500000      (-4.57572368+-2.59557914j)      (12.79100148+-0.62721222j)
      1.79000000      (-4.25188456+-2.65735271j)      (11.78283579+-0.21283284j)
      1.79500000      (-3.94702238+-2.69709261j)      (10.82824991+0.14192133j)
      1.80000000      (-3.66090789+-2.71822254j)      (9.92796651+0.44381620j)
      1.80500000      (-3.39305020+-2.72373816j)      (9.08171929+0.69902733j)
      1.81000000      (-3.14277543+-2.71624379j)      (8.28845681+0.91315976j)
      1.81500000      (-2.90928828+-2.69799129j)      (7.54651222+1.09127757j)
      1.82000000      (-2.69171951+-2.67091867j)      (6.85374023+1.23793985j)
      1.82500000      (-2.48916203+-2.63668698j)      (6.20762126+1.35724109j)
      1.83000000      (-2.30069776+-2.59671460j)      (5.60533077+1.45285508j)
      1.83500000      (-2.12541746+-2.55220854j)      (5.04376662+1.52808325j)
      1.84000000      (-1.96243470+-2.50419255j)      (4.51951648+1.58591040j)
      1.84500000      (-1.81089558+-2.45353208j)      (4.02871990+1.62907715j)
      1.85000000      (-1.66998510+-2.40095628j)      (3.56670085+1.66019428j)
      1.85500000      (-1.53893094+-2.34707726j)      (3.12696991+1.68198170j)
      1.86000000      (-1.41700534+-2.29240689j)      (2.69785428+1.69799384j)
      1.86500000      (-1.30352565+-2.23737125j)      (2.24213064+1.71691028j)
      1.87000000      (-1.19785377+-2.18232326j)      (1.83316302+1.99933035j)
      1.87500000      (-1.09939495+-2.12755343j)      (1.67161210+2.11470112j)
      1.88000000      (-1.00759605+-2.07329917j)      (1.51014043+2.16127801j)
      1.88500000      (-0.92194355+-2.01975277j)      (1.35590129+2.17588040j)
      1.89000000      (-0.84196128+-1.96706820j)      (1.21057915+2.17078317j)
      1.89500000      (-0.76720816+-1.91536694j)      (1.07454175+2.15223478j)
      1.90000000      (-0.69727585+-1.86474301j)      (0.94766124+2.12404768j)
      1.90500000      (-0.63178643+-1.81526717j)      (0.82958983+2.08879274j)
      1.91000000      (-0.57039020+-1.76699057j)      (0.71987783+2.04831303j)
      1.91500000      (-0.51276351+-1.71994783j)      (0.61803174+2.00398322j)
      1.92000000      (-0.45860673+-1.67415965j)      (0.52354530+1.95685605j)
      1.92500000      (-0.40764225+-1.62963502j)      (0.43591705+1.90775206j)
      1.93000000      (-0.35961276+-1.58637311j)      (0.35466028+1.85731829j)
      1.93500000      (-0.31427944+-1.54436484j)      (0.27930876+1.80606857j)
      1.94000000      (-0.27142039+-1.50359420j)      (0.20941972+1.75441224j)
      1.94500000      (-0.23082914+-1.46403934j)      (0.14457521+1.70267540j)
      1.95000000      (-0.19231326+-1.42567348j)      (0.08438243+1.65111690j)
      1.95500000      (-0.15569300+-1.38846565j)      (0.02847335+1.59994071j)
      1.96000000      (-0.12080015+-1.35238128j)      (-0.02349605+1.54930560j)
      1.96500000      (-0.08747685+-1.31738264j)      (-0.07184691+1.49933277j)
      1.97000000      (-0.05557453+-1.28342916j)      (-0.11687861+1.45011201j)
      1.97500000      (-0.02495294+-1.25047764j)      (-0.15887011+1.40170660j)
      1.98000000      (0.00452081+-1.21848238j)      (-0.19808120+1.35415728j)
      1.98500000      (0.03297311+-1.18739515j)      (-0.23475384+1.30748544j)
      1.99000000      (0.06052469+-1.15716510j)      (-0.26911334+1.26169567j)
      1.99500000      (0.08729138+-1.12773854j)      (-0.30136957+1.21677777j)
      2.00000000      (0.11338486+-1.09905861j)      (-0.33171805+1.17270830j)
