# This file contains data for the Dirac and Pauli proton electromagnetic form factors in the time-like region, based on the Unitary and Analytic (UA) model for dark vector production,
# as presented in "A Closer Look at Dark Vector Splitting Functions in Proton Bremsstrahlung" by S. Foroughi-Abari, P. Reimitz, and A. Ritz.
# Column descriptions:
# Column  1    : The momentum transfer sqrt(t) [GeV]
# Columns 2 & 3: Uncertainty band (minimum and maximum) of the Dirac form factor
# Columns 4 & 5: Uncertainty band (minimum and maximum) of the Pauli form factor
#     sqrt(t)[GeV]    F1Pmin                         F1Pmax                        F2Pmin                        F2Pmax 
      1.76000000      (-2.96246997+-2.44777851j)      (-10.70747049+0.39556640j)      (12.28248989+-0.90016554j)      (26.23978927+-11.09750728j)
      1.77000000      (-2.41269536+-2.51489622j)      (-9.80791361+-0.73881927j)      (10.40519526+-0.19354348j)      (23.85801309+-7.74709314j)
      1.78000000      (-1.93129101+-2.51416229j)      (-8.86152547+-1.57637389j)      (8.72929872+0.33169467j)      (21.25001086+-5.06770080j)
      1.79000000      (-1.51395707+-2.46715666j)      (-7.93407316+-2.16665749j)      (7.25349019+0.71283517j)      (18.61942596+-2.98200494j)
      1.80000000      (-1.15424378+-2.38979674j)      (-7.06408961+-2.56073552j)      (5.96690373+0.98095441j)      (16.09858678+-1.39560280j)
      1.81000000      (-0.84503602+-2.29355356j)      (-6.30340236+-2.73883115j)      (4.85309796+1.16156514j)      (13.76410725+-0.21501898j)
      1.82000000      (-0.57936957+-2.18653683j)      (-5.59579967+-2.88539284j)      (3.89278894+1.27536805j)      (11.65212144+0.64385337j)
      1.83000000      (-0.92745369+-1.85475767j)      (-4.96852721+-2.94825486j)      (3.06546311+1.33904149j)      (9.77070206+1.25282104j)
      1.84000000      (-0.68981207+-1.77749083j)      (-4.41747971+-2.95107789j)      (2.34979906+1.36607915j)      (8.10850550+1.67144198j)
      1.85000000      (-0.47682273+-1.69560569j)      (-3.93636570+-2.91195997j)      (1.72192751+1.36787711j)      (6.63799660+1.94894248j)
      1.86000000      (-0.28773369+-1.60737114j)      (-3.51803814+-2.84453512j)      (1.14396416+1.35659216j)      (5.30113046+2.12984730j)
      1.87000000      (-0.63385400+-1.35472512j)      (0.98012968+-4.18742504j)      (0.55310485+1.56253521j)      (3.99975158+2.61162435j)
      1.88000000      (-0.47054504+-1.28926994j)      (1.23983024+-3.96714143j)      (0.69715099+1.55337232j)      (3.41723342+2.88098889j)
      1.89000000      (-0.32655192+-1.22274927j)      (1.46969548+-3.75420126j)      (0.84344057+1.40914399j)      (2.88642616+2.93468781j)
      1.90000000      (-0.19882039+-1.15639987j)      (1.67486371+-3.54964261j)      (0.65269985+1.39611155j)      (2.42292687+2.90173048j)
      1.91000000      (-0.08474278+-1.09099885j)      (1.85986772+-3.35389465j)      (0.48626136+1.35787255j)      (2.02259995+2.82133957j)
      1.92000000      (0.01790863+-1.02699416j)      (2.02871231+-3.16692841j)      (0.34188237+1.30491995j)      (1.67842796+2.71377715j)
      1.93000000      (0.11104335+-0.96459525j)      (2.18495366+-2.98836466j)      (0.21694615+1.24339263j)      (1.38324697+2.59117423j)
      1.94000000      (0.19410523+-0.90419270j)      (2.32745834+-2.82216123j)      (0.10890371+1.17715167j)      (1.13024467+2.46136487j)
      1.95000000      (-0.45814969+-0.73714514j)      (2.46928205+-2.65836890j)      (0.01541200+1.10870200j)      (0.91334601+2.32947257j)
      1.96000000      (-0.42281059+-0.69218562j)      (2.60700167+-2.50017515j)      (-0.06562573+1.03967541j)      (0.07794321+2.33741039j)
      1.97000000      (-0.39177305+-0.65024650j)      (2.74313317+-2.34630126j)      (-0.13605937+0.97111211j)      (-0.05404747+2.19626072j)
      1.98000000      (-0.36455152+-0.61109758j)      (2.88008290+-2.19521266j)      (-0.19750809+0.90363604j)      (-0.16895044+2.06148644j)
      1.99000000      (-0.34074350+-0.57452682j)      (3.02019910+-2.04506690j)      (-0.25138242+0.83756792j)      (-0.26975791+1.93328881j)
