1.5	4.363944322269034e7	1.6727392822681582e6	5.727231883224232e8
2.	6.261321791283382e7	3.8832174964770363e6	7.023497541372457e8
2.5	8.498550689723009e7	7.050573310886571e6	7.448434397797376e8
3.	1.0603819172330336e8	1.0654841740596885e7	7.327362670956678e8
3.5	1.2301309976007259e8	1.3472189880821098e7	6.913371743414451e8
4.	1.356493092762754e8	1.7016446461809814e7	6.469536521130193e8
5.	1.5124463114754418e8	2.520370083542869e7	5.689689254713768e8
6.	1.578026639344232e8	3.318482545233467e7	5.022604874628172e8
7.5	1.5444367153138253e8	4.211188924091646e7	4.2316971522438365e8
10.	1.4097771091563496e8	4.991636544560876e7	3.298410390258194e8
