1.5	2.1581590234784633e6	96213.72637378305	5.849668263808234e6
2.	1.2663901424392357e6	188701.61389907548	2.5391477235981813e6
2.5	669354.8084478658	258698.22878469797	1.303190598634076e6
3.	358627.28776407044	183692.13529449297	724488.7345048374
3.5	197219.17805279262	98954.75427021398	449613.97189482616
4.	111446.3806317351	55169.099318594235	261233.51640188467
5.	38071.193275970676	18464.617179660767	91789.7389522166
6.	13790.006776167838	6635.148394374939	34107.6545379124
7.5	3312.162210523155	1550.55478708505	8345.048017113362
10.	331.941613140238	147.36079103917467	878.1944349420764
