1.5	3.927161719627597e8	1.1480141078276335e9	3.2992076136574544e7
2.	1.0794399260399e9	4.25838988619206e9	7.124304014518164e7
2.5	3.8286464005592666e9	1.1985348132722477e10	5.3292457244652915e8
3.	3.107085399882763e9	8.427410257848921e9	6.811974412720636e8
3.5	2.528466864944595e9	6.209540092194135e9	6.997531954486387e8
4.	2.0779750447904327e9	4.741157172632142e9	6.609290164444575e8
4.5	1.7270465790138385e9	3.7076234550835576e9	6.134469850781014e8
5.	1.4523205846427183e9	2.957324421449076e9	5.619391912217292e8
5.5	1.2314879839254003e9	2.4113520607299514e9	5.0894931961509943e8
6.	1.0553112378232689e9	1.9890579195973501e9	4.6305366687509996e8
