0.01	7.153665859501277e-24	5.116613903465322e-24	5.116613903465322e-24
0.011	1.1547015280806207e-23	8.248178425759255e-24	8.248178425759255e-24
0.012	1.78713837504311e-23	1.2753137030220638e-23	1.2753137030220638e-23
0.013000000000000001	2.670239710177278e-23	1.9040369632211818e-23	1.9040369632211818e-23
0.014	3.872004971151234e-23	2.759285005818269e-23	2.759285005818269e-23
0.015	5.471740186519328e-23	3.8973820525569096e-23	3.8973820525569096e-23
0.016	7.560927712523566e-23	5.383296612511375e-23	5.383296612511375e-23
0.017	1.0244095970058782e-22	7.291258930479223e-23	7.291258930479223e-23
0.018000000000000002	1.363968918177808e-22	9.70537843551066e-23	9.70537843551066e-23
0.019000000000000003	1.7880937109262198e-22	1.2720261189499029e-22	1.2720261189499029e-22
0.02	2.311672479027097e-22	1.644162733585091e-22	1.644162733585091e-22
0.020999999999999998	2.9512462276036747e-22	2.0986928548196284e-22	2.0986928548196284e-22
0.022	3.725095436860094e-22	2.6485965479140386e-22	2.6485965479140386e-22
0.023	4.653327035816758e-22	3.308150520903143e-22	3.308150520903143e-22
0.024	5.757961376051655e-22	4.0929898694786963e-22	4.0929898694786963e-22
0.025	7.063019205436761e-22	5.020169821867063e-22	5.020169821867063e-22
0.026000000000000002	8.594608641881012e-22	6.108227483713367e-22	6.108227483713367e-22
0.027000000000000003	1.038101214707523e-21	7.377243582967584e-22	7.377243582967584e-22
0.028000000000000004	1.245277350023488e-21	8.848904214768415e-22	8.848904214768415e-22
0.028999999999999998	1.4842784771839535e-21	1.054656258632386e-21	1.054656258632386e-21
0.03	1.7586373297385304e-21	1.2495300761804669e-21	1.2495300761804669e-21
0.031	2.072138865113731e-21	1.4721991407237925e-21	1.4721991407237925e-21
0.032	2.4288289619858944e-21	1.7255359535377303e-21	1.7255359535377303e-21
0.033	2.8330231176549003e-21	2.0126044250581266e-21	2.0126044250581266e-21
0.034	3.2893151454246488e-21	2.336666049375883e-21	2.336666049375883e-21
0.035	3.802585871969307e-21	2.701186078717309e-21	2.701186078717309e-21
0.036000000000000004	4.378011834719836e-21	3.1098396979447393e-21	3.1098396979447393e-21
0.037	5.021073979218222e-21	3.566518199024887e-21	3.566518199024887e-21
0.038	5.73756635651597e-21	4.075335155541405e-21	4.075335155541405e-21
0.039	6.533604820540571e-21	4.6406325971754724e-21	4.6406325971754724e-21
0.04	7.415635725456313e-21	5.266987184180704e-21	5.266987184180704e-21
0.041	8.390444623060265e-21	5.959216381893224e-21	5.959216381893224e-21
0.042	9.465164960161675e-21	6.722384635225154e-21	6.722384635225154e-21
0.043000000000000003	1.0647286775900385e-20	7.561809543097164e-21	7.561809543097164e-21
0.044000000000000004	1.194466539919319e-20	8.483068032998882e-21	8.483068032998882e-21
0.045000000000000005	1.3365530146099223e-20	9.49200253546839e-21	9.49200253546839e-21
0.046000000000000006	1.4918493017128754e-20	1.059472715851514e-20	1.059472715851514e-20
0.047	1.661255739470169e-20	1.1797633862192538e-20	1.1797633862192538e-20
0.048	1.845712674046284e-20	1.310739863302729e-20	1.310739863302729e-20
0.049	2.0462013292724297e-20	1.4530987658575895e-20	1.4530987658575895e-20
0.05	2.2637446763705723e-20	1.607566350177905e-20	1.607566350177905e-20
0.051000000000000004	2.4994083037073398e-20	1.7748991275614762e-20	1.7748991275614762e-20
0.052000000000000005	2.7543012865249053e-20	1.9558844817521268e-20	1.9558844817521268e-20
0.053000000000000005	3.029577056671512e-20	2.151341286381643e-20	2.151341286381643e-20
0.054	3.326434272349273e-20	2.3621205224289795e-20	2.3621205224289795e-20
0.055	3.6461176878465154e-20	2.5891058956640113e-20	2.5891058956640113e-20
0.056	3.9899190232762057e-20	2.833214454097376e-20	2.833214454097376e-20
0.057	4.359177834313462e-20	3.0953972054293864e-20	3.0953972054293864e-20
0.058	4.755282381933033e-20	3.3766397344989276e-20	3.3766397344989276e-20
0.059000000000000004	5.179670502146798e-20	3.6779628207323586e-20	3.6779628207323586e-20
0.060000000000000005	5.633830475741242e-20	4.0004230555924044e-20	4.0004230555924044e-20
0.061000000000000006	6.119301898014959e-20	4.345113460027067e-20	4.345113460027067e-20
0.062000000000000006	6.637676548516146e-20	4.7131641019185223e-20	4.7131641019185223e-20
0.063	7.19059926078008e-20	5.1057427135320164e-20	5.1057427135320164e-20
0.064	7.77976879206662e-20	5.524055308964773e-20	5.524055308964773e-20
0.065	8.406938693097702e-20	5.969346801594892e-20	5.969346801594892e-20
0.066	9.073918177794806e-20	6.442901621530245e-20	6.442901621530245e-20
0.067	9.78257299301648e-20	6.946044333057383e-20	6.946044333057383e-20
0.068	1.053482628829581e-19	7.480140252090434e-20	7.480140252090434e-20
0.069	1.1332659485577918e-19	8.04659606362001e-20	8.04659606362001e-20
0.06999999999999999	1.2178113148957449e-19	8.646860439162091e-20	8.646860439162091e-20
0.071	1.3073287854416094e-19	9.28242465420697e-20	9.28242465420697e-20
0.072	1.4020345059560014e-19	9.954823205668083e-20	9.954823205668083e-20
0.073	1.5021507973357396e-19	1.0665634429330977e-19	1.0665634429330977e-19
0.074	1.6079062425875925e-19	1.1416481117302177e-19	1.1416481117302177e-19
0.075	1.7195357738020263e-19	1.2209031135458102e-19	1.2209031135458102e-19
0.076	1.8372807591269544e-19	1.304499804089395e-19	1.304499804089395e-19
0.077	1.961389089741488e-19	1.3926141699372609e-19	1.3926141699372609e-19
0.078	2.0921152668296853e-19	1.485426890277357e-19	1.485426890277357e-19
0.079	2.229720488554299e-19	1.5831233986541818e-19	1.5831233986541818e-19
